TMC,DATE,EPOCH1h,Travel_TIME_ALL_VEHICLES,Travel_TIME_PASSENGER_VEHICLES,Travel_TIME_FREIGHT_TRUCKS
108N05179,5012015,0,4.666666667,4.5,5
108N05179,5012015,1,6,NA,6
108N05179,5012015,2,NA,NA,NA
108N05179,5012015,3,NA,NA,NA
108N05179,5012015,4,5,NA,5
108N05179,5012015,5,5,5,NA
108N05179,5012015,6,5.333333333,5.5,5
108N05179,5012015,7,5,5,NA
108N05179,5012015,8,13.66666667,14.625,6
108N05179,5012015,9,9.571428571,15.33333333,7.4
108N05179,5012015,10,11.71428571,12.66666667,6
108N05179,5012015,11,6.5,6.25,7
108N05179,5012015,12,10.2,11.25,6
108N05179,5012015,13,8.8,9.5,6
108N05179,5012015,14,7.166666667,14.25,6
108N05179,5012015,15,21.11111111,28.5,6.75
108N05179,5012015,16,5.857142857,5.857142857,NA
108N05179,5012015,17,6.625,5.714285714,9.5
108N05179,5012015,18,5.285714286,5,5.666666667
108N05179,5012015,19,32.63636364,21,58.625
108N05179,5012015,20,87.18181818,82.85714286,97.22222222
108N05179,5012015,21,54.33333333,16.25,119.6
108N05179,5012015,22,32.66666667,5,114.6666667
108N05179,5012015,23,6.5,6,7
108N05179,5022015,0,5,5,5
108N05179,5022015,1,5,5,5
108N05179,5022015,2,169,NA,169
108N05179,5022015,3,5,5,5
108N05179,5022015,4,4,4,NA
108N05179,5022015,5,6,NA,6
108N05179,5022015,6,5,5,NA
108N05179,5022015,7,4.666666667,4.5,5
108N05179,5022015,8,13,13,NA
108N05179,5022015,9,5.6,5.5,5.666666667
108N05179,5022015,10,8.6,13.25,5
108N05179,5022015,11,5.142857143,5.166666667,5
108N05179,5022015,12,21.83333333,24.6,6.5
108N05179,5022015,13,8.125,9.2,6.166666667
108N05179,5022015,14,5,4.5,5.5
108N05179,5022015,15,5.428571429,5.333333333,5.5
108N05179,5022015,16,5.6,5.75,5
108N05179,5022015,17,4.5,4.5,6
108N05179,5022015,18,5,5,NA
108N05179,5022015,19,5,5,NA
108N05179,5022015,20,6.5,5,8
108N05179,5022015,21,5,5,NA
108N05179,5022015,22,NA,NA,NA
108N05179,5022015,23,6,NA,6
108N05179,5032015,0,NA,NA,NA
108N05179,5032015,1,7,NA,7
108N05179,5032015,2,5,5,NA
108N05179,5032015,3,5,NA,5
108N05179,5032015,4,6.5,6.5,NA
108N05179,5032015,5,NA,NA,NA
108N05179,5032015,6,NA,NA,NA
108N05179,5032015,7,4.666666667,4,5
108N05179,5032015,8,5.666666667,4,6.5
108N05179,5032015,9,5.25,5,5.666666667
108N05179,5032015,10,5.666666667,5.2,8
108N05179,5032015,11,5.25,5.25,NA
108N05179,5032015,12,5.333333333,5,6
108N05179,5032015,13,5.571428571,5,6
108N05179,5032015,14,4.75,4.75,NA
108N05179,5032015,15,5,5,5
108N05179,5032015,16,6,6,NA
108N05179,5032015,17,5.666666667,5.25,6.5
108N05179,5032015,18,5.25,5,5.333333333
108N05179,5032015,19,6.5,6.5,NA
108N05179,5032015,20,5,5,5
108N05179,5032015,21,8,8,NA
108N05179,5032015,22,5.5,5,6
108N05179,5032015,23,5.25,5.333333333,5
108N05179,5042015,0,5,5,NA
108N05179,5042015,1,NA,NA,NA
108N05179,5042015,2,NA,NA,NA
108N05179,5042015,3,NA,NA,NA
108N05179,5042015,4,7,7,NA
108N05179,5042015,5,NA,NA,NA
108N05179,5042015,6,5.333333333,4,6
108N05179,5042015,7,5.75,5.75,6
108N05179,5042015,8,5.166666667,5.2,6
108N05179,5042015,9,5.666666667,5.166666667,6.166666667
108N05179,5042015,10,7.875,18.71428571,6
108N05179,5042015,11,5.2,5.333333333,5
108N05179,5042015,12,5.5,5.166666667,5.75
108N05179,5042015,13,6,5,6.333333333
108N05179,5042015,14,5.75,5.2,6.2
108N05179,5042015,15,5.5,5,5.666666667
108N05179,5042015,16,5.333333333,5,5.428571429
108N05179,5042015,17,5,5,NA
108N05179,5042015,18,5.2,5,5.333333333
108N05179,5042015,19,5.666666667,5,6.5
108N05179,5042015,20,5,5,5
108N05179,5042015,21,6,6.5,5.5
108N05179,5042015,22,5.4,5,5.5
108N05179,5042015,23,5.75,5,6.333333333
108N05179,5052015,0,6,6,NA
108N05179,5052015,1,6.5,6,7
108N05179,5052015,2,5,5,5
108N05179,5052015,3,6,6,NA
108N05179,5052015,4,5,NA,5
108N05179,5052015,5,5.5,NA,5.5
108N05179,5052015,6,5.5,5,5.5
108N05179,5052015,7,6.125,5.666666667,6.166666667
108N05179,5052015,8,5.857142857,5.2,7
108N05179,5052015,9,5.8,5,6
108N05179,5052015,10,5.857142857,5.666666667,6.166666667
108N05179,5052015,11,5.6,5,5.777777778
108N05179,5052015,12,5.75,5.25,6.166666667
108N05179,5052015,13,5.166666667,5,5.25
108N05179,5052015,14,5.166666667,5,5.333333333
