TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
114N04098,2.79553,32974.5467,7,100.0268102,70,85.82150626,F,90,0_RI,17,0,6,11,15,0,5,10,8.71761217,WA,57.39871483,1.970300222,1.970311425,1.970370785,56.43312897,60.14287649,1.475295379,1.045790841,1.399585795,50.00267613,56.90542483,54.10861902,54.10861902,54.10861902,54.10861902,12.97671975,12.42162838,12.22413123,12.14673696,56.49653698,57.63430329,57.83855172,58.51109302,57.07320227,0,0,-1
114N04099,2.09622,31074,6,250,70,72,F,90,0_RI,0,0,0,0,0,0,0,0,9,WA,63.06177159,1.118966615,1.118972977,1.119006689,62.53916022,65.05510345,1.094892684,0.567689971,0.462000429,57.94334602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8866,0,0,-1
114N04101,3.49942,46392,7,241.6944769,70,84.07673921,F,90,0_RI,7,0,1,6,7,0,1,6,8,WA,65.4436987,1.159638623,1.159645217,1.159680154,64.82630532,67.01017021,0.853121529,0.51643175,0.083864329,62.15161067,63.7347665,62.97389096,62.97389096,62.97389096,62.97389096,2.584411825,3.115595685,3.123477429,3.248471886,63.77613956,65.20392653,65.27415544,64.93769072,65.16161379,0,0,-1
114N04102,1.19326,51531.75669,7,129.1922296,70,85.15134004,F,90,0_RI,16,1,5,10,12,1,5,6,8.581996617,WA,63.48378325,1.100584376,1.100590634,1.100623792,62.71147445,65.41729949,0.789426697,0.348092348,0.469626477,59.47022571,63.24308644,63.97263121,63.97263121,63.97263121,63.97263121,4.578336478,4.329359707,4.082450842,3.843414911,63.94089088,63.79805941,63.48378325,63.48378325,63.17258824,0,0,-1
114N04103,3.32854,60131.76334,7,220.2616407,70,84.42424862,F,90,0_RI,37,0,14,23,34,0,14,20,9.620731709,WA,64.42335484,2.380147506,2.38016104,2.380232748,62.73687958,68.08377273,0.972028518,0.602824236,0.363343498,55.74149003,60.33066089,64.31386971,64.31386971,64.31386971,64.31386971,12.12796224,11.87314351,11.41956064,11.18454498,63.93080178,63.78894512,64.42335484,64.42335484,64.07884492,0,0,-1
114N04104,2.3423,67610.36669,6,62.96294625,70,72.28818604,F,90,0_RI,8,0,2,6,8,0,2,6,9.698661657,WA,67.81994638,2.12806635,2.12807845,2.128142564,66.92285714,69.88077348,0.809334678,0.317800383,0.273003016,63.09718293,72.1860882,65.81344079,65.81344079,65.81344079,65.81344079,3.118788375,3.73944778,3.862562897,6.672305623,68.93813584,68.9052742,69.15492154,69.2685386,67.45824,0,0,-1
114N04105,2.23802,70433.12754,7,84.50392817,70,85.80740666,F,90,0_RI,15,0,6,9,15,0,6,9,9.40909992,WA,64.97477419,2.479226976,2.479241074,2.479315767,64.11303979,67.1406,0.852583766,0.326198608,0.132243937,58.34204068,62.94527297,63.47332645,63.47332645,63.47332645,63.47332645,7.835654479,8.258429804,8.424667482,7.955981738,64.66624763,64.97477419,64.97477419,65.14990836,64.454976,0,0,-1
114N04561,6.26072,19668.85032,4,76,70,48.2411446,F,90,0_RI,8,0,1,7,8,0,1,7,6.929666157,WA,65.07774398,1.453349245,1.453357509,1.453401294,64.89038004,65.83814606,1.052372439,0.631069738,0.090661429,62.39711678,62.58418265,64.62712337,64.62712337,64.62712337,64.62712337,10.86875712,10.13198882,8.732343346,7.884032481,64.57433645,64.33470599,64.36227801,64.39597714,64.9527147,0,0,-1
114N04677,0.28615,30588,8,22.16162714,70,95.22984059,F,90,0_RI,0,0,0,0,0,0,0,0,4.595932143,WA,54.21789474,2.884999734,2.885016138,2.885103056,54.21789474,60.59647059,3.193408947,1.311130857,0,43.54231123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.21789474,0,0,-1
114N04678,4.21345,32307.6018,7,931.0533189,70,87.68950958,F,90,0_RI,28,0,10,18,25,0,8,17,9.757602282,WA,52.94387435,2.805448582,2.805464534,2.805549056,51.71052273,56.04096059,2.472678292,1.323678872,1.511539977,43.84241854,47.58494273,49.02528382,49.02528382,49.02528382,49.02528382,11.68412056,11.11545943,10.659291,10.13490721,52.93786089,53.36299642,53.30357707,53.66819873,52.54648961,0,0,-1
